panel_hgnc_id,panel_id,hgnc_id
1096,1,HGNC:2705
1097,1,HGNC:29812
1098,1,HGNC:2709
1099,1,HGNC:2711
1100,1,HGNC:2714
1101,1,HGNC:18985
1102,1,HGNC:2717
1103,1,HGNC:2718
1104,1,HGNC:2719
1105,1,HGNC:19714
1106,1,HGNC:29106
1107,1,HGNC:2726
1108,1,HGNC:2728
1109,1,HGNC:2731
1110,1,HGNC:16110
1111,1,HGNC:2736
1112,1,HGNC:17347
1113,1,HGNC:13266
1114,1,HGNC:2745
1115,1,HGNC:18674
1116,1,HGNC:20084
1117,1,HGNC:25360
1118,1,HGNC:2747
1119,1,HGNC:14677
1120,1,HGNC:2760
1121,1,HGNC:13709
1122,1,HGNC:19344
1123,1,HGNC:18423
1124,1,HGNC:2770
1125,1,HGNC:2843
1126,1,HGNC:2852
1127,1,HGNC:2858
1128,1,HGNC:2859
1129,1,HGNC:2860
1130,1,HGNC:20603
1131,1,HGNC:2861
1132,1,HGNC:2865
1133,1,HGNC:2867
1134,1,HGNC:2869
1135,1,HGNC:23537
1136,1,HGNC:2739
1137,1,HGNC:16716
1138,1,HGNC:17210
1139,1,HGNC:17211
1140,1,HGNC:21528
1141,1,HGNC:2876
1142,1,HGNC:15480
1143,1,HGNC:17098
1144,1,HGNC:2883
1145,1,HGNC:29284
1146,1,HGNC:17805
1147,1,HGNC:28648
1148,1,HGNC:2888
1149,1,HGNC:19711
1150,1,HGNC:2890
1151,1,HGNC:2896
1152,1,HGNC:2897
1153,1,HGNC:2898
1154,1,HGNC:2901
1155,1,HGNC:2902
1156,1,HGNC:2903
1157,1,HGNC:2904
1158,1,HGNC:2907
1159,1,HGNC:2908
1160,1,HGNC:2909
1161,1,HGNC:2910
